pitime,adc_67_avg,adc_68_avg,adc_69_avg,elec_0_avg,elec_1_avg,elec_2_avg,elec_3_avg,elec_6_avg,flow2,flow3,rh_1,rh_2,rh_3,rh_4,rh5,temp_1,temp_2,temp_3,temp_4,temp_5,temp_6,temp_7,temp_8,temp_9
2021-01-02 11:00:00,515.0,503.2,512.0,0.0,32.9,80.1,45.2,109.1,0.0,0.0,34.3,48.4,99.9,23.0,,61.2,58.5,54.7,33.1,40.1,80.2,50.6,30.2,73.3
2021-01-02 12:00:00,515.0,503.1,512.0,42.2,32.8,89.3,55.8,93.7,0.0,0.0,34.5,48.7,99.9,23.0,,61.3,58.6,54.8,33.3,40.1,80.8,50.9,31.8,73.2
2021-01-02 13:00:00,515.0,503.1,512.0,43.1,32.6,85.1,55.7,82.7,0.0,0.0,34.6,48.7,99.9,22.9,,60.9,58.6,54.7,33.6,40.1,77.9,50.8,32.6,73.3
2021-01-02 14:00:00,515.0,503.1,512.0,0.0,32.8,80.7,44.2,85.6,0.0,0.0,35.0,49.0,99.9,23.0,,60.7,58.5,54.7,33.9,40.1,77.5,50.7,32.1,73.2
2021-01-02 15:00:00,515.0,503.2,512.0,42.1,38.5,94.7,56.8,104.6,1.8,0.0,35.0,49.0,99.9,23.0,,60.7,58.6,54.7,33.9,40.1,78.1,50.8,31.9,73.2
2021-01-02 16:00:00,515.0,503.2,512.0,43.9,44.2,120.3,72.3,108.4,0.0,0.0,35.2,49.3,99.9,23.0,,60.9,58.6,54.9,33.9,40.1,79.8,51.1,31.2,73.2
2021-01-02 17:00:00,515.0,503.2,512.0,0.0,44.2,115.1,61.6,100.9,0.0,0.0,35.1,49.3,99.9,23.0,,61.0,58.6,55.0,33.8,40.1,80.3,51.2,30.7,73.3
2021-01-02 18:00:00,515.0,503.2,512.0,42.7,44.3,123.7,72.3,88.7,0.0,0.0,35.3,49.3,99.9,23.0,,60.9,58.6,55.0,33.8,40.1,79.1,51.2,30.6,73.3
2021-01-02 19:00:00,515.0,503.2,512.0,43.6,44.2,122.4,72.8,93.0,0.0,0.0,35.2,49.3,99.9,23.2,,60.9,58.6,55.0,33.7,40.1,78.5,51.1,30.6,73.4
2021-01-02 20:00:00,515.0,503.2,512.0,0.0,44.3,112.3,64.5,101.0,1.8,0.0,35.4,49.4,99.9,23.1,,60.9,58.5,55.0,33.6,40.1,78.7,51.2,30.5,73.3
2021-01-02 21:00:00,515.0,503.2,512.0,43.1,44.8,118.2,74.3,100.8,0.0,0.0,35.3,49.4,99.9,23.0,,60.8,58.5,55.0,33.6,40.1,77.5,51.2,30.4,73.4
2021-01-02 22:00:00,515.0,503.2,512.0,42.2,44.9,95.3,64.8,94.0,0.0,0.0,35.5,49.5,99.9,23.1,,60.8,58.5,55.0,33.6,40.1,77.4,51.2,30.2,73.3
2021-01-02 23:00:00,515.0,503.0,512.0,0.0,45.1,80.6,55.4,100.1,0.0,0.0,35.2,49.5,99.9,23.1,,60.8,58.5,55.0,33.5,40.1,79.1,51.1,30.0,73.3
2021-01-03 00:00:00,514.9,503.0,512.0,43.4,40.5,83.4,65.2,110.7,0.0,0.0,35.4,49.5,99.9,23.2,,60.8,58.5,55.0,33.4,40.1,78.5,51.1,29.4,73.3
2021-01-03 01:00:00,514.9,503.0,512.0,43.8,37.2,62.8,52.6,101.5,0.0,0.0,35.1,49.4,99.9,23.2,,60.9,58.6,55.0,33.4,40.1,79.0,51.4,29.4,73.4
2021-01-03 02:00:00,515.0,503.0,512.0,0.0,36.1,53.4,39.7,96.7,1.8,0.0,35.2,49.5,99.9,23.1,,60.9,58.5,54.9,33.3,40.1,78.2,51.4,29.3,73.3
2021-01-03 03:00:00,515.0,503.0,512.0,41.9,33.5,63.6,51.9,95.9,0.0,0.0,34.9,49.3,99.9,23.1,,61.0,58.6,54.9,33.3,40.1,78.8,51.4,29.0,73.4
2021-01-03 04:00:00,515.0,503.0,512.0,43.5,33.2,91.9,63.0,111.3,0.0,0.0,35.1,49.4,99.9,23.2,,61.1,58.5,54.9,33.2,40.1,80.1,51.3,28.3,73.4
2021-01-03 05:00:00,515.0,503.1,512.0,0.0,33.2,80.4,49.2,108.2,0.0,0.0,34.8,49.3,99.9,23.0,,61.2,58.6,54.9,33.1,40.1,80.0,51.4,27.8,73.4
2021-01-03 06:00:00,515.0,503.1,512.0,43.3,33.1,94.5,63.3,118.8,0.0,0.0,34.8,49.3,99.9,23.0,,61.3,58.5,54.9,33.1,40.6,81.4,51.3,28.0,73.4
2021-01-03 07:00:00,515.0,503.1,512.0,0.0,33.2,78.8,48.4,102.3,0.0,0.0,34.5,49.1,99.9,23.0,,61.3,58.6,54.9,33.0,40.2,79.6,51.4,28.0,73.3
2021-01-03 08:00:00,515.0,503.1,512.0,41.6,33.1,88.4,58.3,101.9,2.4,0.0,34.6,49.2,99.9,23.0,,61.4,58.6,54.9,32.9,40.2,80.7,51.4,28.4,73.4
2021-01-03 09:00:00,515.0,503.0,512.0,42.7,32.8,85.7,57.3,95.6,0.0,0.0,34.5,49.1,99.9,23.0,,61.2,58.6,54.8,33.1,40.2,79.2,51.1,29.6,73.4
2021-01-03 10:00:00,515.0,503.0,512.0,0.0,32.9,81.5,43.5,93.8,0.0,0.0,34.8,49.2,99.9,23.0,,60.9,58.6,54.8,33.3,40.3,78.3,50.8,30.2,73.4
2021-01-03 11:00:00,514.9,503.0,511.9,40.9,32.8,91.1,52.0,91.8,0.0,0.0,34.9,49.3,99.9,22.9,,60.5,58.6,54.7,33.7,40.2,75.1,50.4,30.9,73.4
2021-01-03 12:00:00,514.9,503.0,512.0,43.1,32.8,90.7,53.2,87.8,0.0,0.0,35.2,49.5,99.9,23.0,,60.6,58.7,54.8,33.9,40.4,78.5,50.5,31.0,73.3
2021-01-03 13:00:00,514.8,503.0,512.0,0.0,33.0,80.9,43.7,97.8,0.0,0.0,35.2,49.5,99.9,23.1,,60.7,58.8,54.9,34.0,40.5,79.0,50.4,31.7,73.4
2021-01-03 14:00:00,515.0,503.0,512.0,42.8,32.9,92.3,55.8,92.6,2.0,0.0,35.4,49.4,99.9,23.1,,60.7,58.7,54.9,34.1,40.2,77.7,50.8,32.1,73.3
2021-01-03 15:00:00,515.0,503.1,512.0,43.8,38.8,88.4,58.6,97.1,0.0,0.0,35.3,49.4,99.9,23.0,,60.8,58.7,55.0,34.2,40.1,78.9,50.9,31.3,73.2
2021-01-03 16:00:00,515.0,503.0,512.0,0.0,44.2,109.6,58.9,95.8,0.0,0.0,35.6,49.6,99.9,23.3,,60.7,58.5,54.9,34.1,40.1,76.6,51.0,30.6,73.3
2021-01-03 17:00:00,515.0,503.1,512.0,46.8,44.2,120.3,74.7,82.3,0.0,0.0,35.5,49.5,99.9,23.2,,60.8,58.6,55.0,34.1,40.1,79.3,51.0,30.3,73.3
2021-01-03 18:00:00,515.0,503.1,512.0,43.5,44.1,124.7,73.2,94.6,0.0,0.0,35.7,49.7,99.9,23.2,,60.7,58.6,55.0,34.0,40.1,78.6,51.0,30.4,73.2
2021-01-03 19:00:00,515.0,503.1,512.0,0.0,44.5,111.4,63.3,95.5,0.5,0.0,35.6,49.6,99.9,23.3,,60.8,58.5,55.0,34.0,40.1,78.1,51.0,30.4,73.3
2021-01-03 20:00:00,514.9,503.1,512.0,42.9,44.5,123.2,77.2,103.5,1.8,0.0,35.8,49.8,99.9,23.3,,60.8,58.6,55.0,33.9,40.1,77.9,51.1,30.5,73.3
2021-01-03 21:00:00,515.0,503.2,512.0,46.4,44.3,119.3,77.1,87.2,0.0,0.0,35.7,49.7,99.9,23.3,,60.8,58.6,55.0,33.9,40.1,78.2,51.0,30.4,73.4
2021-01-03 22:00:00,515.0,503.2,512.0,0.0,45.2,78.7,55.5,88.0,0.0,0.0,35.9,49.9,99.9,23.3,,60.7,58.5,55.0,33.8,40.1,77.7,50.9,30.3,73.4
2021-01-03 23:00:00,515.0,503.1,512.0,41.6,44.9,88.2,67.5,93.6,0.0,0.0,35.8,49.9,99.9,23.3,,60.7,58.5,55.0,33.8,40.1,77.7,50.9,30.9,73.3
2021-01-04 00:00:00,515.0,503.1,512.0,43.4,40.6,83.4,63.0,98.4,0.0,0.0,35.9,50.0,99.9,23.4,,60.8,58.5,55.1,33.8,40.1,78.8,51.1,31.2,73.3
2021-01-04 01:00:00,515.0,503.1,512.0,0.0,37.4,51.3,40.5,96.0,1.7,0.0,35.8,50.0,99.9,23.3,,60.8,58.5,55.0,33.8,40.1,78.0,51.2,30.8,73.3
2021-01-04 02:00:00,515.0,503.1,512.0,43.0,35.9,61.6,54.8,105.8,0.0,0.0,35.9,50.1,99.9,23.3,,61.0,58.5,55.0,33.8,40.1,79.5,51.3,30.3,73.4
2021-01-04 03:00:00,515.0,503.1,512.0,0.0,33.6,53.6,43.1,105.1,0.0,0.0,35.8,50.1,99.9,23.4,,61.0,58.5,55.0,33.8,40.1,79.4,51.4,29.9,73.3
2021-01-04 04:00:00,515.0,503.0,512.0,41.9,33.0,92.3,62.6,105.3,0.0,0.0,35.9,50.1,99.9,23.3,,61.0,58.5,55.0,33.8,40.1,79.3,51.4,29.4,73.4
2021-01-04 05:00:00,515.0,503.2,512.0,43.6,32.9,89.4,60.3,98.5,0.0,0.0,35.8,50.1,99.9,23.4,,61.1,58.5,54.9,33.7,40.1,79.1,51.3,29.6,73.4
2021-01-04 06:00:00,515.0,503.1,512.0,0.0,33.1,82.0,48.6,100.3,0.0,0.0,35.9,50.1,99.9,23.6,,61.2,58.5,54.9,33.7,40.1,79.5,51.4,29.8,73.4
2021-01-04 07:00:00,515.0,503.3,512.1,44.4,33.1,87.9,61.0,108.1,2.4,0.0,35.6,50.1,99.9,23.5,,61.3,58.6,55.0,33.6,40.1,80.5,51.5,29.7,73.4
2021-01-04 08:00:00,515.0,503.2,512.0,43.1,33.2,88.7,56.8,95.1,0.0,0.0,35.9,50.1,99.9,23.6,,61.1,58.5,54.8,33.6,40.1,77.8,51.2,29.7,73.4
2021-01-04 09:00:00,515.0,503.2,512.0,0.0,33.1,77.4,48.2,118.3,0.0,0.0,35.7,50.1,99.9,23.4,,61.2,58.5,54.9,33.7,40.1,80.1,51.2,30.5,73.4
2021-01-04 10:00:00,514.9,503.2,512.0,44.0,33.0,89.1,54.9,86.5,0.0,0.0,36.0,50.2,99.9,23.7,,61.0,58.5,54.9,33.8,40.4,77.4,51.1,31.4,73.4
2021-01-04 11:00:00,515.0,503.1,512.0,42.8,32.8,89.2,53.6,82.2,0.0,0.0,35.9,50.2,99.9,23.5,,61.0,58.6,55.0,34.0,40.2,77.7,51.0,31.8,73.3
2021-01-04 12:00:00,514.9,503.1,512.0,0.0,32.8,81.8,46.1,92.5,2.1,0.0,36.3,50.4,99.9,23.7,,60.9,58.6,55.0,34.2,40.1,78.4,51.1,32.8,73.3
2021-01-04 13:00:00,515.0,503.1,512.0,44.7,32.9,88.2,55.2,92.1,0.0,0.0,36.3,50.4,99.9,23.7,,60.8,58.6,55.1,34.4,40.1,78.0,51.0,33.0,73.3
2021-01-04 14:00:00,514.9,503.1,512.0,41.5,32.7,88.5,54.9,88.4,0.0,0.0,36.8,50.6,99.9,23.8,,60.7,58.6,55.1,34.6,40.1,77.4,51.0,33.5,73.3
2021-01-04 15:00:00,515.0,503.1,512.0,0.0,38.4,80.6,43.9,88.2,0.0,0.0,36.9,50.7,99.9,23.9,,60.6,58.5,55.1,34.7,40.1,76.8,50.9,32.5,73.4
2021-01-04 16:00:00,515.0,503.2,512.0,47.4,44.2,120.7,68.6,88.7,0.0,0.0,37.1,50.9,99.9,23.9,,60.7,58.5,55.2,34.6,40.1,77.4,51.1,31.9,73.3
2021-01-04 17:00:00,515.0,503.0,512.0,42.7,44.1,119.8,78.1,118.6,0.0,0.0,37.0,51.0,99.9,24.0,,60.7,58.5,55.2,34.5,40.1,79.0,51.0,31.3,73.3
2021-01-04 18:00:00,515.0,503.2,512.0,0.0,44.1,114.8,62.8,94.0,2.4,0.0,37.2,51.1,99.9,24.0,,60.7,58.5,55.2,31.2,40.1,78.1,51.0,31.0,73.3
2021-01-04 19:00:00,515.0,503.2,512.0,43.3,44.3,124.3,72.9,83.9,0.0,0.0,37.0,51.0,99.9,24.0,,60.7,58.5,55.2,34.3,40.1,78.6,50.9,30.5,73.3
2021-01-04 20:00:00,514.9,503.1,512.0,45.4,44.6,121.8,77.4,106.1,0.0,0.0,37.2,51.1,99.9,24.1,,60.7,58.5,55.0,34.3,40.2,77.4,50.9,30.1,73.4
2021-01-04 21:00:00,515.0,503.2,512.0,0.0,44.5,107.1,57.9,64.8,0.0,0.0,36.9,51.0,99.9,23.9,,60.7,58.5,55.0,34.2,40.1,75.3,51.2,29.9,73.4
2021-01-04 22:00:00,514.9,503.0,512.0,40.9,44.8,90.8,67.3,105.3,0.0,0.0,37.1,51.1,99.9,24.2,,60.6,58.4,55.0,34.1,40.2,78.5,50.8,30.0,73.4
2021-01-04 23:00:00,514.9,503.0,512.0,0.0,44.9,78.0,56.0,101.1,1.9,0.0,36.8,51.1,99.9,24.0,,60.7,58.5,55.0,34.0,40.1,78.6,50.9,30.1,73.4
2021-01-05 00:00:00,514.9,503.0,512.0,41.7,40.5,81.2,61.1,82.3,0.0,0.0,36.9,51.1,99.9,24.0,,60.8,58.5,55.0,34.0,40.1,77.2,51.1,30.1,73.4
2021-01-05 01:00:00,514.9,503.1,512.0,49.0,37.3,63.8,59.3,119.6,0.0,0.0,36.6,51.0,99.9,24.0,,60.9,58.4,55.0,34.0,40.1,80.6,51.0,30.0,73.4
2021-01-05 02:00:00,514.9,503.0,512.0,0.0,36.1,54.6,43.4,108.9,0.0,0.0,36.7,51.0,99.9,23.9,,61.0,58.5,55.0,34.0,40.1,79.9,51.1,29.8,73.3
2021-01-05 03:00:00,514.9,503.0,512.0,41.1,33.6,62.8,48.9,83.5,0.0,0.0,36.4,50.8,99.9,24.0,,61.0,58.5,54.9,33.9,40.1,77.4,51.1,29.8,73.4
2021-01-05 04:00:00,514.9,503.0,512.0,44.1,33.3,92.1,61.6,103.9,2.4,0.0,36.6,50.9,99.9,24.0,,61.0,58.5,54.8,33.9,40.1,79.5,50.9,29.6,73.3
2021-01-05 05:00:00,514.9,503.0,512.0,0.0,33.4,78.4,49.9,103.9,0.0,0.0,36.4,50.7,99.9,24.0,,61.1,58.5,54.8,33.8,40.1,79.5,51.0,29.2,73.4
2021-01-05 06:00:00,514.9,503.1,512.0,44.2,32.9,91.4,63.0,109.4,0.0,0.0,36.4,50.8,99.9,24.0,,61.3,58.5,54.8,33.8,40.1,80.7,50.8,28.7,73.4
2021-01-05 07:00:00,514.9,503.1,512.0,27.6,33.3,83.2,57.6,106.7,0.0,0.0,36.1,50.6,99.9,24.1,,61.3,58.5,54.8,33.7,40.1,80.3,50.6,28.3,73.3
2021-01-05 08:00:00,514.9,503.1,512.0,18.0,33.1,84.8,49.5,93.4,0.0,0.0,36.2,50.7,99.9,24.1,,61.3,58.4,54.7,33.6,40.1,80.5,50.4,28.1,73.3
2021-01-05 09:00:00,515.0,503.2,512.0,45.2,32.9,96.0,58.3,95.3,2.0,0.0,36.0,50.6,99.9,24.0,,61.2,58.5,54.7,33.7,40.1,80.1,50.3,28.6,73.3
2021-01-05 10:00:00,515.0,503.0,512.0,0.0,32.9,98.1,46.6,88.1,0.0,0.0,36.2,50.8,99.9,23.9,,61.0,58.4,54.7,33.8,40.1,78.4,50.2,29.6,73.3
2021-01-05 11:00:00,515.0,503.1,512.0,44.3,32.8,87.7,55.8,91.8,0.0,0.0,36.1,50.8,99.9,24.0,,60.9,58.5,54.7,34.1,40.1,77.9,49.8,31.0,73.3
2021-01-05 12:00:00,514.9,503.1,512.0,46.7,32.7,91.6,56.9,92.7,0.0,0.0,36.4,51.2,99.9,24.1,,60.6,58.4,54.7,34.2,40.1,77.2,49.7,29.7,73.3
2021-01-05 13:00:00,515.0,503.1,512.0,0.0,32.9,78.7,43.7,94.4,0.0,0.0,36.3,51.1,99.9,24.0,,60.7,58.4,54.7,34.2,40.1,77.9,49.7,29.4,73.1
2021-01-05 14:00:00,514.9,503.1,512.0,41.8,32.8,89.4,59.5,103.0,2.0,0.0,36.5,51.2,99.9,24.1,,60.7,58.4,54.7,34.2,40.1,78.6,49.7,29.3,73.2
2021-01-05 15:00:00,514.9,503.0,512.0,46.2,38.5,90.5,63.4,107.9,0.0,0.0,36.2,51.0,99.9,24.1,,61.0,58.4,54.7,34.1,40.1,80.0,50.1,28.6,73.2
2021-01-05 16:00:00,514.9,503.1,512.0,0.0,43.9,111.0,58.9,95.0,0.0,0.0,36.2,51.0,99.9,24.0,,61.1,58.4,54.7,34.0,40.1,79.2,50.2,28.0,73.1
2021-01-05 17:00:00,514.9,503.1,512.0,43.6,44.1,121.5,78.6,119.9,0.0,0.0,35.9,50.9,99.9,24.0,,61.1,58.4,54.5,33.8,40.1,81.2,50.0,27.3,73.2
2021-01-05 18:00:00,515.0,503.1,512.0,8.4,44.1,115.8,63.9,90.7,0.0,0.0,35.9,50.9,99.9,23.9,,61.0,58.4,54.4,33.7,40.1,80.1,50.1,27.0,73.2
2021-01-05 19:00:00,515.0,503.1,512.0,36.9,44.0,118.7,74.8,97.4,1.8,0.0,35.6,50.7,99.9,23.9,,61.1,58.4,54.5,33.6,40.1,80.5,50.2,26.8,73.2
2021-01-05 20:00:00,514.9,503.1,512.0,41.5,44.2,121.7,77.7,105.0,0.0,0.0,35.6,50.6,99.9,23.8,,61.1,58.4,54.4,33.4,40.1,79.6,50.3,26.6,73.2
2021-01-05 21:00:00,515.0,503.1,512.0,21.8,44.7,113.4,69.6,104.2,0.0,0.0,35.2,50.5,99.9,23.8,,61.2,58.4,54.4,33.3,40.1,80.3,50.4,26.5,73.2
2021-01-05 22:00:00,515.0,503.1,512.0,20.7,44.9,85.4,62.8,104.2,0.0,0.0,35.2,50.4,99.9,23.6,,61.1,58.4,54.4,33.2,40.1,79.5,50.4,26.5,73.3
2021-01-05 23:00:00,514.9,503.1,512.0,42.3,44.7,89.2,70.1,105.9,0.0,0.0,34.8,50.3,99.9,23.6,,61.2,58.4,54.4,33.1,40.2,79.4,50.4,26.8,73.3
2021-01-06 00:00:00,515.0,503.0,512.0,26.8,40.7,79.5,63.5,106.1,2.4,0.0,34.8,50.4,99.9,23.6,,61.1,58.4,54.3,33.0,40.6,79.6,50.4,26.6,73.2
2021-01-06 01:00:00,514.9,503.1,512.0,15.0,37.3,53.9,47.7,113.0,0.0,0.0,34.5,50.1,99.9,23.4,,61.2,58.4,54.3,32.9,40.6,80.3,50.5,26.8,73.1
2021-01-06 02:00:00,515.0,503.0,512.0,42.0,36.1,61.4,58.4,126.2,0.0,0.0,34.6,50.1,99.9,23.4,,61.3,58.4,54.2,32.9,40.6,81.0,50.7,27.1,73.3
2021-01-06 03:00:00,515.0,503.0,512.0,0.0,33.8,51.4,47.4,131.9,0.0,0.0,34.2,49.9,99.9,23.3,,61.4,58.5,54.3,32.7,40.2,82.5,50.7,27.4,73.3
2021-01-06 04:00:00,515.0,503.0,512.0,41.2,33.3,89.7,63.8,114.2,0.0,0.0,34.2,49.9,99.9,23.2,,61.6,58.6,54.4,32.7,40.1,82.6,51.1,27.3,73.3
2021-01-06 05:00:00,515.0,503.0,512.0,43.0,33.0,87.1,62.9,109.5,2.3,0.0,34.1,49.8,99.9,23.1,,61.6,58.6,54.3,32.7,40.1,81.8,51.0,27.3,73.3
2021-01-06 06:00:00,515.0,503.0,512.0,0.0,33.3,80.1,50.9,105.8,0.0,0.0,34.2,49.7,99.9,23.2,,61.6,58.6,54.3,32.6,40.1,81.1,51.0,27.2,73.2
2021-01-06 07:00:00,515.0,503.0,512.0,43.6,33.3,88.6,62.6,106.7,0.0,0.0,34.0,49.6,99.9,23.2,,61.6,58.5,54.3,32.5,40.1,80.7,51.0,27.4,73.2
2021-01-06 08:00:00,515.0,503.0,512.0,41.9,33.1,89.1,62.0,115.2,0.0,0.0,34.1,49.7,99.9,23.0,,61.6,58.6,54.3,32.5,40.1,80.8,51.1,27.8,73.3
2021-01-06 09:00:00,515.0,503.1,512.0,0.0,33.1,75.6,50.2,118.6,0.0,0.0,34.0,49.6,99.9,23.1,,61.5,58.6,54.4,32.5,40.1,80.7,51.0,29.0,73.2
2021-01-06 10:00:00,515.0,503.0,512.0,44.6,32.9,88.0,63.1,120.6,1.5,0.0,34.3,49.7,99.9,23.1,,61.5,58.6,54.6,32.7,40.1,82.0,50.9,30.0,73.3
2021-01-06 11:00:00,515.0,503.0,512.0,42.2,32.9,85.6,58.2,96.1,0.4,0.0,34.3,49.7,99.9,23.2,,61.3,58.7,54.7,32.8,40.1,80.8,50.7,29.9,73.3
2021-01-06 12:00:00,515.0,503.1,512.0,0.0,32.9,80.1,45.6,102.2,0.0,0.0,34.6,49.8,99.9,23.2,,61.2,58.6,54.7,32.9,40.1,79.7,50.8,30.4,73.2
2021-01-06 13:00:00,515.0,503.0,512.0,43.7,32.9,87.6,54.1,90.1,0.0,0.0,34.6,49.8,99.9,23.2,,61.1,58.6,54.7,33.0,40.1,78.4,50.8,30.6,73.3
2021-01-06 14:00:00,515.0,503.0,512.0,43.3,32.8,87.2,60.2,115.0,0.0,0.0,34.8,49.9,99.9,23.2,,61.1,58.6,54.7,33.1,40.1,79.6,50.8,30.6,73.2
2021-01-06 15:00:00,514.9,503.0,512.0,0.0,38.8,78.8,50.4,110.6,0.0,0.0,34.6,49.8,99.9,23.3,,61.3,58.7,54.8,33.3,40.1,80.3,51.0,30.3,73.3
2021-01-06 16:00:00,515.0,503.0,512.0,41.8,44.3,119.2,74.4,117.1,0.0,0.0,34.7,49.9,99.9,23.1,,61.2,58.7,54.9,33.2,40.1,81.1,51.0,29.0,73.3
2021-01-06 17:00:00,515.0,503.0,512.0,50.4,44.2,120.7,78.4,97.8,1.9,0.0,34.5,49.8,99.9,23.2,,61.2,58.7,54.9,33.1,40.1,81.0,51.0,28.4,73.3
2021-01-06 18:00:00,514.9,503.1,512.0,0.0,44.3,110.1,65.2,98.9,0.0,0.0,34.5,49.8,99.9,23.2,,61.2,58.7,54.8,33.0,40.1,81.1,51.0,27.4,73.4
2021-01-06 19:00:00,514.9,503.0,512.0,46.2,44.2,115.0,76.7,91.6,0.0,0.0,34.2,49.6,99.9,23.2,,61.1,58.6,54.7,32.8,40.1,78.6,50.9,24.9,73.4
2021-01-06 20:00:00,515.0,503.0,512.0,0.0,44.3,104.6,76.0,152.0,0.0,0.0,34.0,49.6,99.9,23.0,,61.3,58.7,54.6,32.4,40.1,83.7,50.8,22.5,73.2
2021-01-06 21:00:00,515.0,503.0,512.0,43.9,44.4,113.4,77.7,112.4,0.0,0.0,33.2,49.4,99.9,22.9,,61.5,58.8,54.4,31.9,40.1,82.8,50.7,21.0,73.3
2021-01-06 22:00:00,514.9,503.0,512.0,41.8,44.8,86.2,68.0,103.5,0.0,0.0,32.9,49.1,99.9,22.7,,61.4,58.7,54.1,31.4,40.1,81.1,50.5,19.6,73.2
2021-01-06 23:00:00,514.9,503.0,512.0,0.0,45.1,73.5,65.3,149.2,0.0,0.0,32.2,49.0,99.9,22.5,,61.4,58.7,54.0,30.8,40.1,83.2,50.1,18.6,73.3
2021-01-07 00:00:00,514.9,503.0,512.0,42.5,40.7,79.6,70.3,133.1,0.0,0.0,31.7,48.6,99.9,22.2,,61.8,58.9,54.2,30.4,40.1,85.2,50.3,20.5,73.3
2021-01-07 01:00:00,515.0,503.0,511.9,41.4,37.1,58.5,57.7,119.2,0.0,0.0,31.5,48.3,99.9,22.1,,61.7,58.8,53.9,30.1,40.1,82.6,50.2,22.6,73.2
2021-01-07 02:00:00,515.0,503.0,511.9,41.9,35.9,57.5,58.9,124.6,0.0,0.0,31.6,48.2,99.9,21.9,,61.7,58.8,53.9,29.9,40.1,81.7,50.4,23.5,73.3
2021-01-07 03:00:00,515.0,503.0,512.0,0.0,33.7,48.5,55.8,162.9,2.0,0.0,31.4,48.0,99.9,21.9,,61.8,58.8,54.0,29.9,40.1,85.0,50.3,23.8,73.3
2021-01-07 04:00:00,515.0,503.0,512.0,50.5,33.1,87.0,68.5,116.6,0.0,0.0,31.5,47.8,99.9,21.8,,62.0,58.9,54.1,29.8,40.1,84.5,50.7,24.2,73.4
2021-01-07 05:00:00,515.0,503.0,512.0,0.0,33.2,73.0,59.6,151.2,0.0,0.0,31.4,47.8,99.9,21.7,,61.9,58.8,54.0,29.8,40.1,84.4,50.5,24.5,73.4
2021-01-07 06:00:00,515.0,503.0,512.0,41.3,33.1,86.8,62.3,113.9,0.0,0.0,31.5,47.7,99.9,21.6,,62.1,58.9,54.0,29.8,40.1,84.6,50.7,25.1,73.4
2021-01-07 07:00:00,515.0,503.0,512.0,42.1,33.1,84.9,61.9,119.2,0.0,0.0,31.5,47.7,99.9,21.7,,62.0,58.8,54.0,29.8,40.1,81.9,50.6,25.6,73.3
2021-01-07 08:00:00,515.0,503.0,512.0,0.0,33.4,74.3,55.4,150.1,0.0,0.0,31.8,47.8,99.9,21.7,,61.9,58.8,54.1,30.0,40.1,83.9,50.6,26.6,73.3
